t,v
0,0.724981308
0.016666667,8.805480671
0.033333333,6.580868238
0.05,11.14529063
0.066666667,13.67826201
0.083333333,17.6291451
0.1,23.02252549
0.116666667,29.64267338
0.133333333,39.96739684
0.15,55.63829992
0.166666667,106.7620439
0.183333333,130.1840474
0.2,184.1823149
0.216666667,250.6389258
0.233333333,271.4151656
0.25,221.433774
0.266666667,138.7934831
0.283333333,95.79514024
0.3,88.6403349
0.316666667,75.97501241
0.333333333,64.94986317
0.35,47.76687632
0.366666667,18.66960647
0.383333333,23.2426556
0.4,61.66344452
0.416666667,24.01202394
0.433333333,7.873255492
0.45,32.66077361
0.466666667,25.17379322
0.483333333,19.48407764
0.5,13.90599966
0.516666667,11.00241409
0.533333333,9.08280078
0.55,5.205140884
